experiment,activation,seeds,num_seeds,metric,min_gamma,min_value,max_gamma,max_value,abs_range,rel_range_pct,largest_adjacent_gamma_pair,largest_adjacent_delta,gamma_values
discontinuous_gradient,elu2_b0_5,"42,43,44,45,46",5,neurons,0.1,48.6,10.0,59.4,10.799999999999997,22.222222222222214,1->10,7.399999999999999,0:51.2; 0.01:55.4; 0.1:48.6; 1:52; 10:59.4
discontinuous_gradient,elu2_b0_5,"42,43,44,45,46",5,near_score,0.1,12.98551936519324,0.01,15.007381060354462,2.0218616951612223,15.570125755467885,0.01->0.1,2.0218616951612223,0:13.8046; 0.01:15.0074; 0.1:12.9855; 1:13.7978; 10:13.4049
discontinuous_gradient,elu2_b0_5,"42,43,44,45,46",5,eval_h1,10.0,0.06875186283950029,0.01,0.08124921007417497,0.012497347234674688,18.177467080200387,1->10,0.009890341392071997,0:0.0793528; 0.01:0.0812492; 0.1:0.0802741; 1:0.0786422; 10:0.0687519
discontinuous_gradient,elu2_b2,"42,43,44,45,46",5,near_grad,1.0,0.2505002026449357,0.01,0.2563154340084056,0.005815231363469897,2.3214477681331576,0.1->1,0.003963233068461913,0:0.256162; 0.01:0.256315; 0.1:0.254463; 1:0.2505; 10:0.251629
discontinuous_gradient,elu2_b2,"42,43,44,45,46",5,far_grad,1.0,0.023042301336622825,0.1,0.025896450004232102,0.0028541486676092777,12.38656081227863,0.1->1,0.0028541486676092777,0:0.0258327; 0.01:0.0240102; 0.1:0.0258965; 1:0.0230423; 10:0.0230786
discontinuous_gradient,elu2_b2,"42,43,44,45,46",5,near_far_ratio,0.0,10.260096199763431,10.0,10.952003903314424,0.6919077035509922,6.743676570663593,0->0.01,0.6512730713800572,0:10.2601; 0.01:10.9114; 0.1:10.3585; 1:10.9351; 10:10.952
discontinuous_gradient,elu2_b2,"42,43,44,45,46",5,neurons,0.1,59.4,10.0,66.8,7.399999999999999,12.457912457912455,0.1->1,6.000000000000007,0:63.6; 0.01:63.8; 0.1:59.4; 1:65.4; 10:66.8
discontinuous_gradient,elu2_b2,"42,43,44,45,46",5,near_score,0.1,15.08889430019227,10.0,16.68622506949678,1.5973307693045076,10.586135322613757,0.01->0.1,1.237406653726664,0:16.2626; 0.01:16.3263; 0.1:15.0889; 1:16.3081; 10:16.6862
discontinuous_gradient,elu2_b2,"42,43,44,45,46",5,eval_h1,1.0,0.0700382740976012,0.0,0.07179845290821443,0.0017601788106132304,2.5131670265894175,0.1->1,0.0014207707214729942,0:0.0717985; 0.01:0.0716548; 0.1:0.071459; 1:0.0700383; 10:0.0702191
discontinuous_gradient,gaussian,"42,43,44,45,46",5,near_grad,1.0,0.2556783842950908,0.0,0.2654792188032533,0.009800834508162493,3.8332667562741145,1->10,0.009521708624146141,0:0.265479; 0.01:0.259827; 0.1:0.25804; 1:0.255678; 10:0.2652
